M2,ThetaPert,ThetaPertG2,ThetaTotal,ThetaPartialCrossLine
7.,42.9737,43.0756,43.0475,43.0499
7.08333,42.9921,43.0924,43.0649,43.0672
7.16667,43.0101,43.1089,43.082,43.0843
7.25,43.0277,43.1251,43.0987,43.1009
7.33333,43.0449,43.1409,43.1151,43.1172
7.41667,43.0617,43.1564,43.1311,43.1331
7.5,43.0781,43.1715,43.1468,43.1487
7.58333,43.0942,43.1864,43.1621,43.164
7.66667,43.11,43.2009,43.1771,43.179
7.75,43.1254,43.2151,43.1918,43.1936
7.83333,43.1405,43.2291,43.2062,43.2079
7.91667,43.1552,43.2428,43.2203,43.222
8.,43.1697,43.2561,43.2342,43.2358
8.08333,43.1839,43.2693,43.2477,43.2493
8.16667,43.1977,43.2821,43.261,43.2625
8.25,43.2113,43.2948,43.274,43.2754
8.33333,43.2246,43.3071,43.2867,43.2881
8.41667,43.2377,43.3193,43.2992,43.3006
8.5,43.2505,43.3312,43.3115,43.3128
8.58333,43.263,43.3428,43.3235,43.3248
8.66667,43.2753,43.3543,43.3353,43.3365
8.75,43.2873,43.3655,43.3468,43.348
8.83333,43.2992,43.3766,43.3581,43.3593
8.91667,43.3108,43.3874,43.3693,43.3704
9.,43.3221,43.398,43.3802,43.3813
