FixedParameter,s0,ThetaDeg
7.,53.,42.973718585936965
7.,53.083333333333336,42.982559580675414
7.,53.166666666666664,42.99135983920441
7.,53.25,43.00011945187245
7.,53.333333333333336,43.00883850949447
7.,53.41666666666667,43.017517103348254
7.,53.5,43.02615532517076
7.,53.583333333333336,43.03475326715446
7.,53.66666666666667,43.04331102194365
7.,53.75,43.051828682630635
7.,53.833333333333336,43.06030634275205
7.,53.91666666666667,43.06874409628491
7.,54.,43.07714203764297
7.,54.083333333333336,43.08550026167268
7.,54.166666666666664,43.09381886364937
7.,54.25,43.102097939273314
7.,54.333333333333336,43.110337584665785
7.,54.416666666666664,43.1185378963651
7.,54.5,43.126698971322526
7.,54.583333333333336,43.13482090689837
7.,54.666666666666664,43.142903800857816
7.,54.75,43.150947751366914
7.,54.833333333333336,43.158952856988435
7.,54.916666666666664,43.166919216677776
7.,55.,43.17484692977875
8.,53.,43.169691313259584
8.,53.083333333333336,43.17987901900707
8.,53.166666666666664,43.19002871564028
8.,53.25,43.20014046027193
8.,53.333333333333336,43.21021431038522
8.,53.41666666666667,43.22025032383256
8.,53.5,43.23024855883429
8.,53.583333333333336,43.24020907397742
8.,53.66666666666667,43.250131928214245
8.,53.75,43.26001718086105
8.,53.833333333333336,43.269864891596676
8.,53.91666666666667,43.27967512046118
8.,54.,43.28944792785432
8.,54.083333333333336,43.29918337453419
8.,54.166666666666664,43.30888152161565
8.,54.25,43.31854243056888
8.,54.333333333333336,43.328166163217844
8.,54.416666666666664,43.33775278173873
8.,54.5,43.347302348658275
8.,54.583333333333336,43.356814926852344
8.,54.666666666666664,43.36629057954415
8.,54.75,43.37572937030266
8.,54.833333333333336,43.38513136304093
8.,54.916666666666664,43.39449662201437
8.,55.,43.40382521181906
9.,53.,43.322130389001
9.,53.083333333333336,43.33340161542488
9.,53.166666666666664,43.34463769516219
9.,53.25,43.35583866550665
9.,53.333333333333336,43.36700456402323
9.,53.41666666666667,43.378135428547935
9.,53.5,43.38923129718763
9.,53.583333333333336,43.40029220831983
9.,53.66666666666667,43.41131820059254
9.,53.75,43.42230931292391
9.,53.833333333333336,43.433265584502024
9.,53.91666666666667,43.44418705478459
9.,54.,43.455073763498696
9.,54.083333333333336,43.46592575064046
9.,54.166666666666664,43.47674305647457
9.,54.25,43.48752572153411
9.,54.333333333333336,43.49827378662013
9.,54.416666666666664,43.50898729280114
9.,54.5,43.519666281412796
9.,54.583333333333336,43.53031079405744
9.,54.666666666666664,43.54092087260365
9.,54.75,43.55149655918572
9.,54.833333333333336,43.56203789620329
9.,54.916666666666664,43.57254492632067
9.,55.,43.583017692466434
