FixedParameter,s0,ThetaDeg
7.,53.,42.97371858593695
7.,53.083333333333336,42.9825595806754
7.,53.166666666666664,42.9913598392044
7.,53.25,43.00011945187244
7.,53.333333333333336,43.008838509494474
7.,53.41666666666667,43.017517103348254
7.,53.5,43.026155325170755
7.,53.583333333333336,43.03475326715446
7.,53.66666666666667,43.043311021943644
7.,53.75,43.05182868263062
7.,53.833333333333336,43.06030634275203
7.,53.91666666666667,43.06874409628491
7.,54.,43.07714203764297
7.,54.083333333333336,43.08550026167267
7.,54.166666666666664,43.093818863649346
7.,54.25,43.10209793927331
7.,54.333333333333336,43.11033758466578
7.,54.416666666666664,43.118537896365076
7.,54.5,43.126698971322526
7.,54.583333333333336,43.134820906898355
7.,54.666666666666664,43.1429038008578
7.,54.75,43.15094775136691
7.,54.833333333333336,43.158952856988435
7.,54.916666666666664,43.16691921667777
7.,55.,43.174846929778745
8.,53.,43.16969131325958
8.,53.083333333333336,43.17987901900707
8.,53.166666666666664,43.19002871564027
8.,53.25,43.20014046027193
8.,53.333333333333336,43.21021431038522
8.,53.41666666666667,43.220250323832545
8.,53.5,43.23024855883428
8.,53.583333333333336,43.24020907397741
8.,53.66666666666667,43.25013192821423
8.,53.75,43.26001718086103
8.,53.833333333333336,43.26986489159667
8.,53.91666666666667,43.27967512046117
8.,54.,43.289447927854305
8.,54.083333333333336,43.29918337453419
8.,54.166666666666664,43.30888152161563
8.,54.25,43.31854243056888
8.,54.333333333333336,43.328166163217844
8.,54.416666666666664,43.33775278173871
8.,54.5,43.34730234865827
8.,54.583333333333336,43.35681492685232
8.,54.666666666666664,43.36629057954413
8.,54.75,43.37572937030265
8.,54.833333333333336,43.38513136304093
8.,54.916666666666664,43.394496622014366
8.,55.,43.40382521181905
9.,53.,43.32213038900098
9.,53.083333333333336,43.333401615424876
9.,53.166666666666664,43.34463769516219
9.,53.25,43.35583866550665
9.,53.333333333333336,43.367004564023226
9.,53.41666666666667,43.378135428547914
9.,53.5,43.38923129718761
9.,53.583333333333336,43.40029220831983
9.,53.66666666666667,43.41131820059254
9.,53.75,43.42230931292391
9.,53.833333333333336,43.43326558450202
9.,53.91666666666667,43.44418705478459
9.,54.,43.45507376349869
9.,54.083333333333336,43.46592575064044
9.,54.166666666666664,43.47674305647455
9.,54.25,43.48752572153411
9.,54.333333333333336,43.49827378662012
9.,54.416666666666664,43.508987292801116
9.,54.5,43.51966628141278
9.,54.583333333333336,43.53031079405743
9.,54.666666666666664,43.54092087260365
9.,54.75,43.55149655918573
9.,54.833333333333336,43.56203789620329
9.,54.916666666666664,43.57254492632066
9.,55.,43.583017692466434
