FixedParameter,s0,ThetaDeg
7.,53.,42.99811928922863
7.,53.083333333333336,43.006917687818
7.,53.166666666666664,43.015675940568016
7.,53.25,43.024394129532716
7.,53.333333333333336,43.03307233736827
7.,53.41666666666667,43.04171064732654
7.,53.5,43.05030914324885
7.,53.583333333333336,43.05886790955965
7.,53.66666666666667,43.06738703126031
7.,53.75,43.075866593922854
7.,53.833333333333336,43.08430668368374
7.,53.91666666666667,43.09270738723778
7.,54.,43.101068791831864
7.,54.083333333333336,43.10939098525899
7.,54.166666666666664,43.117674055852056
7.,54.25,43.12591809247778
7.,54.333333333333336,43.134123184530786
7.,54.416666666666664,43.142289421927366
7.,54.5,43.15041689509968
7.,54.583333333333336,43.1585056949896
7.,54.666666666666664,43.166555913042814
7.,54.75,43.17456764120288
7.,54.833333333333336,43.182540971905304
7.,54.916666666666664,43.19047599807154
7.,55.,43.198372813103234
8.,53.,43.191060121945995
8.,53.083333333333336,43.20119936477658
8.,53.166666666666664,43.21130119645154
8.,53.25,43.2213656659919
8.,53.333333333333336,43.23139282292278
8.,53.41666666666667,43.24138271726953
8.,53.5,43.25133539955372
8.,53.583333333333336,43.261250920789266
8.,53.66666666666667,43.27112933247861
8.,53.75,43.28097068660886
8.,53.833333333333336,43.29077503564803
8.,53.91666666666667,43.30054243254121
8.,54.,43.310272930706944
8.,54.083333333333336,43.319966584033466
8.,54.166666666666664,43.32962344687502
8.,54.25,43.33924357404821
8.,54.333333333333336,43.34882702082841
8.,54.416666666666664,43.358373842946165
8.,54.5,43.36788409658356
8.,54.583333333333336,43.37735783837069
8.,54.666666666666664,43.386795125382164
8.,54.75,43.39619601513355
8.,54.833333333333336,43.40556056557792
8.,54.916666666666664,43.41488883510227
8.,55.,43.424180882524176
9.,53.,43.341396068566375
9.,53.083333333333336,43.352615154471955
9.,53.166666666666664,43.363799690802345
9.,53.25,43.374949706891925
9.,53.333333333333336,43.38606523247898
9.,53.41666666666667,43.397146297702754
9.,53.5,43.40819293310068
9.,53.583333333333336,43.41920516960554
9.,53.66666666666667,43.430183038542744
9.,53.75,43.441126571627656
9.,53.833333333333336,43.45203580096286
9.,53.91666666666667,43.46291075903561
9.,54.,43.47375147871515
9.,54.083333333333336,43.48455799325028
9.,54.166666666666664,43.49533033626669
9.,54.25,43.50606854176456
9.,54.333333333333336,43.516772644116074
9.,54.416666666666664,43.52744267806296
9.,54.5,43.53807867871413
9.,54.583333333333336,43.54868068154329
9.,54.666666666666664,43.55924872238649
9.,54.75,43.56978283743999
9.,54.833333333333336,43.58028306325778
9.,54.916666666666664,43.5907494367494
9.,55.,43.60118199517761
