FixedParameter,s0,ThetaDeg
7.,53.,43.04745603962535
7.,53.083333333333336,43.05616706116706
7.,53.166666666666664,43.06483914864191
7.,53.25,43.07347236699761
7.,53.333333333333336,43.08206678206588
7.,53.41666666666667,43.09062246055027
7.,53.5,43.09913947001429
7.,53.583333333333336,43.10761787886972
7.,53.66666666666667,43.11605775636498
7.,53.75,43.12445917257379
7.,53.833333333333336,43.132822198383785
7.,53.91666666666667,43.14114690548554
7.,54.,43.1494333663614
7.,54.083333333333336,43.15768165427489
7.,54.166666666666664,43.16589184325983
7.,54.25,43.174064008109845
7.,54.333333333333336,43.18219822436789
7.,54.416666666666664,43.19029456831596
7.,54.5,43.19835311696486
7.,54.583333333333336,43.20637394804413
7.,54.666666666666664,43.21435713999211
7.,54.75,43.222302771946026
7.,54.833333333333336,43.230210923732294
7.,54.916666666666664,43.238081675856876
7.,55.,43.24591510949569
8.,53.,43.23416201402273
8.,53.083333333333336,43.24420251371331
8.,53.166666666666664,43.2542068229763
8.,53.25,43.26417497423381
8.,53.333333333333336,43.274107000688
8.,53.41666666666667,43.28400293631153
8.,53.5,43.29386281583814
8.,53.583333333333336,43.30368667475332
8.,53.66666666666667,43.313474549285196
8.,53.75,43.32322647639564
8.,53.833333333333336,43.332942493771434
8.,53.91666666666667,43.34262263981559
8.,54.,43.352266953638924
8.,54.083333333333336,43.36187547505167
8.,54.166666666666664,43.37144824455521
8.,54.25,43.380985303334036
8.,54.333333333333336,43.390486693247745
8.,54.416666666666664,43.39995245682328
8.,54.5,43.409382637247084
8.,54.583333333333336,43.418777278357624
8.,54.666666666666664,43.42813642463784
8.,54.75,43.437460121207764
8.,54.833333333333336,43.44674841381734
8.,54.916666666666664,43.456001348839095
8.,55.,43.46521897326125
9.,53.,43.38019204178856
9.,53.083333333333336,43.3913053331259
9.,53.166666666666664,43.40238528938596
9.,53.25,43.41343192364234
9.,53.333333333333336,43.42444524964499
9.,53.41666666666667,43.43542528181161
9.,53.5,43.44637203521951
9.,53.583333333333336,43.45728552559735
9.,53.66666666666667,43.46816576931734
9.,53.75,43.47901278338738
9.,53.833333333333336,43.48982658544342
9.,53.91666666666667,43.50060719374205
9.,54.,43.51135462715315
9.,54.083333333333336,43.52206890515279
9.,54.166666666666664,43.53275004781607
9.,54.25,43.543398075810316
9.,54.333333333333336,43.554013010388346
9.,54.416666666666664,43.56459487338175
9.,54.5,43.575143687194455
9.,54.583333333333336,43.585659474796344
9.,54.666666666666664,43.596142259716906
9.,54.75,43.60659206603918
9.,54.833333333333336,43.6170089183937
9.,54.916666666666664,43.6273928419525
9.,55.,43.637743862423356
